,composite_element_ref,methyl_itensity,unmethyl_intensity,detection_p_value
67,cg00059930,18586.4393791602,3686.4393791601897,0.0
68,cg00060762,224.188225479725,9648.43937916019,0.0
69,cg00060882,330.157165655579,6369.485522468271,0.0
70,cg00061059,222.73227941735502,4639.43937916019,0.0
71,cg00061629,8947.43937916019,1219.79264518454,0.0
72,cg00062776,20425.4855224683,242.62108729298401,0.0
73,cg00063144,9458.48552246827,1103.2021210705802,0.0
74,cg00065385,8523.43937916019,334.099975558341,0.0
75,cg00065408,579.7555937125969,37984.4855224683,0.0
76,cg00066153,8656.48552246827,1917.49658245682,0.0
77,cg00066816,1696.57703224733,11660.485522468301,0.0
78,cg00067471,486.429148686298,12012.485522468301,0.0
79,cg00069261,449.47438727217104,21076.4855224683,0.0
80,cg00071250,8700.43937916019,5614.439379160191,0.0
81,cg00071998,305.498696870628,12925.4393791602,0.0
82,cg00072216,273.162377553454,18688.4855224683,0.0
83,cg00073650,5880.439379160191,1642.44192109384,0.0
84,cg00075967,2821.4855225975703,6297.485522468271,0.0
85,cg00076645,225.009468039053,11058.485522468301,0.0
86,cg00077457,2933.48552249164,398.33078073489304,0.0
87,cg00077877,3689.4393791601897,749.457498773678,0.0
88,cg00078194,278.059417774197,14999.485522468301,0.0
89,cg00078867,4808.485522468271,4834.485522468271,0.0
90,cg00079056,6272.439379160191,789.386227372303,0.0
91,cg00079563,254.444376769251,25057.4855224683,0.0
92,cg00080012,253.798865894067,23669.4855224683,0.0
93,cg00081935,220.338948766406,10516.4393791602,0.0
94,cg00081975,32080.4855224683,28988.4855224683,0.0
95,cg00083720,185.58454407908002,17331.4855224683,0.0
96,cg00083937,32211.4855224683,23216.4855224683,0.0
97,cg00084687,257.712113199239,24103.4855224683,0.0
98,cg00089071,191.24718228590402,22311.4855224683,0.0
99,cg00090147,7466.439379160191,9265.43937916019,0.0
100,cg00091693,902.671728807087,3741.48552246827,0.0
101,cg00093177,8489.48552246827,1216.26232304256,0.0
102,cg00094319,8076.485522468271,7013.485522468271,0.0
103,cg00094851,2370.43937917672,29077.4393791602,0.0
104,cg00095526,16133.4393791602,3993.4393791601897,0.0
105,cg00095674,482.250224242176,15069.4393791602,0.0
106,cg00096922,902.671728807087,10680.4855224683,0.0
107,cg00097536,409.321807419684,27029.4855224683,0.0
108,cg00098162,3332.4855224683,303.849032921191,0.0
109,cg00098239,190.792610387645,13616.4393791602,0.0
110,cg00099550,653.285396565848,39226.4855224683,0.0
111,cg00101227,13040.485522468301,3311.48552246831,0.0
112,cg00103783,240.42474864695598,16878.4393791602,0.0
113,cg00105253,998.097204041102,13925.4393791602,0.0
114,cg00105470,221.291331549776,13320.4393791602,0.0
115,cg00107187,3568.48552246827,38839.4855224683,0.0
116,cg00107488,3576.4393791601897,4076.4393791601897,0.0
117,cg00107632,261.047968681253,28365.4855224683,0.0
118,cg00108454,6494.485522468271,15865.485522468301,0.0
119,cg00109274,327.91974610763697,44272.4855224683,0.0
120,cg00112517,6889.485522468271,43440.4855224683,0.0
121,cg00113020,2199.43937956484,415.96171647484,0.0
122,cg00113951,1910.43943119175,8322.43937916019,0.0
123,cg00115714,233.724760815694,8466.48552246827,0.0
124,cg00116234,302.820922244349,5654.439379160191,0.0
125,cg00116838,936.618755368426,11398.485522468301,0.0
126,cg00117172,18961.4855224683,14187.485522468301,0.0
127,cg00119079,401.252086940739,14018.485522468301,0.0
128,cg00121158,356.62651083666395,29249.4855224683,0.0
129,cg00121640,1529.45035053939,19790.4393791602,0.0
130,cg00121904,1811.5170031024,9781.48552246827,0.0
131,cg00123035,293.880043901378,14023.4393791602,0.0
132,cg00126034,808.9143557647681,25497.4855224683,0.0
133,cg00126657,810.581374971905,5123.485522468271,0.0
134,cg00126698,9030.48552246827,7119.485522468271,0.0
135,cg00128197,8276.48552246827,14244.485522468301,0.0
136,cg00128560,6006.439379160191,242.616550088298,0.0
137,cg00128654,208.535981199415,15453.485522468301,0.0
138,cg00128766,190.232802283419,3040.4393791601897,0.0
139,cg00128877,1054.79322823956,21931.4855224683,0.0
140,cg00129774,204.058500212195,10433.4393791602,0.0
141,cg00131121,350.164972353004,16274.4393791602,0.0
142,cg00131557,4112.485522468271,283.862200635461,0.0
143,cg00132141,378.61458662974405,2327.43937919798,0.0
144,cg00133909,386.282805029638,14914.4393791602,0.0
145,cg00134539,4658.43937916019,1111.43199855246,0.0
146,cg00134787,992.229137407885,1595.44410923698,0.0
147,cg00135056,2876.48552252456,31194.4855224683,0.0
148,cg00135393,284.951108364239,1402.4894434756698,0.0
149,cg00136105,272.439491876539,17170.4855224683,0.0
150,cg00136405,249.954417398725,1598.4439278797101,0.0
151,cg00136477,20053.4393791602,8291.43937916019,0.0
152,cg00136736,283.862200635461,15410.485522468301,0.0
153,cg00138126,6329.485522468271,14148.485522468301,0.0
154,cg00141162,4928.43937916019,3826.4393791601897,0.0
155,cg00141550,2621.4855247906303,1907.49776085577,0.0
156,cg00141845,308.598462920541,3146.4393791601897,0.0
157,cg00143376,23613.4855224683,11039.485522468301,0.0
158,cg00143998,247.075857114558,14454.485522468301,0.0
159,cg00145118,1339.54057541841,6891.439379160191,0.0
160,cg00145348,18599.4855224683,17354.4855224683,0.0
161,cg00146096,277.069081292615,18022.4855224683,0.0
162,cg00149659,209.776130150467,9408.48552246827,0.0
163,cg00149976,570.268636452434,32018.4855224683,0.0
164,cg00151234,6509.485522468271,8433.48552246827,0.0
165,cg00151607,206.170510596978,17360.4393791602,0.0
166,cg00152644,5888.439379160191,5230.43937916019,0.0
167,cg00155167,193.24953035906898,12464.485522468301,0.0
168,cg00155485,233.91235054773603,9316.48552246827,0.0
169,cg00155609,370.222385322278,27430.4855224683,0.0
170,cg00156216,229.297260822045,12535.485522468301,0.0
171,cg00156744,195.179041010482,15158.4393791602,0.0
172,cg00158308,12246.485522468301,17149.4855224683,0.0
173,cg00160914,364.77710993247,4404.43937916019,0.0
174,cg00162401,351.54712896246804,15383.4393791602,0.0
175,cg00162643,199.53629329164798,6799.439379160191,0.0
176,cg00164041,207.025426548805,9471.43937916019,0.0
177,cg00164898,367.223505424966,17258.4855224683,0.0
178,cg00165981,252.94230467175598,4832.485522468271,0.0
179,cg00167504,239.61065481192998,16184.4393791602,0.0
180,cg00168082,195.959314281567,7602.439379160191,0.0
181,cg00168785,592.643847406167,15544.485522468301,0.0
182,cg00168942,3646.48552246827,7096.485522468271,0.0
183,cg00169548,548.7298111112771,2030.48891713203,0.0
184,cg00171126,171.974979750812,6799.439379160191,0.0
185,cg00171161,420.48651893601306,9935.43937916019,0.0
186,cg00174500,9840.48552246827,5239.485522468271,0.0
187,cg00174901,15520.485522468301,17314.4855224683,0.0
188,cg00176210,34410.4855224683,11406.485522468301,0.0
189,cg00176879,35692.4855224683,282.58485054144404,0.0
190,cg00177013,990.274372142233,20720.4393791602,0.0
191,cg00177698,256.72849879332597,10978.4393791602,0.0
192,cg00177923,268.634517291795,18392.4855224683,0.0
193,cg00178790,617.881910408945,29024.4855224683,0.0
194,cg00179446,624.578444107084,6805.439379160191,0.0
195,cg00180012,231.44222843046,11352.4393791602,0.0
196,cg00180631,11936.485522468301,16723.4855224683,0.0
197,cg00182461,232.73016443447497,5404.43937916019,0.0
198,cg00183782,662.586786114055,216.502832175881,0.0
199,cg00183916,270.764420262505,20749.4855224683,0.0
200,cg00184884,186.032538309455,17586.4393791602,0.0
201,cg00184893,258.594948983576,18458.4855224683,0.0
202,cg00185103,1963.4394016422,276.399925998455,0.0
203,cg00185839,310.557389010031,14865.4393791602,0.0
204,cg00186141,293.86714756069597,23909.4855224683,0.0
205,cg00186701,708.7451822709551,6722.439379160191,0.0
206,cg00186954,1552.44759583835,417.652266454398,0.0
207,cg00187380,507.035872017761,20572.4855224683,0.0
208,cg00187686,370.632138545011,1750.43994863513,0.0
209,cg00188348,28747.4393791602,22658.4393791602,0.0
210,cg00191052,2323.48563805674,1053.8505478351499,0.0
211,cg00194146,641.2908976323,26908.4855224683,0.0
212,cg00195561,11818.485522468301,2510.48553298977,0.0
213,cg00197381,546.9224896598761,28171.4855224683,0.0
214,cg00197641,437.591306788506,25742.4855224683,0.0
215,cg00199549,11513.4393791602,4744.43937916019,0.0
216,cg00200063,238.685115633142,17952.4855224683,0.0
217,cg00201234,15061.485522468301,24644.4855224683,0.0
218,cg00202702,283.606017296231,20240.4855224683,0.0
219,cg00202711,1875.4394685771103,9214.43937916019,0.0
220,cg00204262,4545.485522468271,5738.485522468271,0.0
221,cg00206052,239.659141002425,11743.485522468301,0.0
222,cg00207534,171.042424684243,8196.43937916019,0.0
223,cg00208830,4468.43937916019,7983.439379160191,0.0
224,cg00208967,1401.51724945676,8592.48552246827,0.0
225,cg00209066,18564.4855224683,1903.49826474798,0.0
226,cg00209951,608.552011942441,7976.439379160191,0.0
227,cg00210842,346.966189782674,13639.4393791602,0.0
228,cg00211661,363.521209443636,15520.485522468301,0.0
229,cg00212549,260.679124172115,6202.439379160191,0.0
230,cg00213044,22630.4393791602,16320.4393791602,0.0
231,cg00213331,3873.48552246827,424.735395978395,0.0
232,cg00213714,272.439491876539,12281.485522468301,0.0
233,cg00214346,273.888281657289,17865.4855224683,0.0
234,cg00214794,9429.48552246827,6751.485522468271,0.0
235,cg00214855,637.103517625355,10146.4855224683,0.0
236,cg00215066,13955.4393791602,482.250224242176,0.0
237,cg00216361,477.69084650280405,14234.4393791602,0.0
238,cg00216758,413.65248249071897,21384.4855224683,0.0
239,cg00217795,6715.485522468271,8408.48552246827,0.0
240,cg00221494,12858.485522468301,11092.485522468301,0.0
241,cg00223186,217.986503187021,12521.4393791602,0.0
242,cg00223950,395.025870699823,18328.4855224683,0.0
243,cg00224234,299.628659177911,32065.4855224683,0.0
244,cg00224508,410.61492299606795,30426.4855224683,0.0
245,cg00226904,2833.4393791601897,669.234630803781,0.0
246,cg00226923,18420.4393791602,4695.43937916019,0.0
247,cg00228799,282.076399705616,16484.4855224683,0.0
248,cg00229387,3331.4855224683,20822.4855224683,0.0
249,cg00230271,211.388593154218,8012.439379160191,0.0
250,cg00230368,336.012194933017,17575.4855224683,0.0
251,cg00230502,287.74817637964804,9085.48552246827,0.0
252,cg00230685,10239.4393791602,7333.439379160191,0.0
253,cg00231140,292.063327493674,17220.4393791602,0.0
254,cg00231644,1135.23667014671,961.03403875593,0.0
255,cg00231920,425.186412031876,32794.4855224683,0.0
256,cg00233307,9064.43937916019,9188.43937916019,0.0
257,cg00234616,8560.43937916019,14668.4393791602,0.0
258,cg00234961,317.74890779166697,13486.4393791602,0.0
259,cg00236832,302.820922244349,7671.439379160191,0.0
260,cg00237010,1688.5838253681,11576.485522468301,0.0
261,cg00238052,2133.48661254602,5519.485522468271,0.0
262,cg00239071,23779.4393791602,1017.6961191404301,0.0
263,cg00239419,8243.43937916019,2676.43937916022,0.0
264,cg00239685,455.316235474552,13223.485522468301,0.0
265,cg00240312,582.952061825303,19276.4855224683,0.0
266,cg00240432,304.347154547615,13044.4393791602,0.0
267,cg00240880,7931.485522468271,15886.485522468301,0.0
268,cg00241355,306.424175524217,26776.4855224683,0.0
269,cg00242839,3001.48552247627,10799.4855224683,0.0
270,cg00243313,292.251870405697,33055.4855224683,0.0
271,cg00245878,7850.485522468271,1491.0044167121,0.0
272,cg00247489,318.561586350049,19881.4393791602,0.0
273,cg00250430,3309.48552246831,10337.4855224683,0.0
274,cg00253200,322.887271414324,20039.4855224683,0.0
275,cg00256074,8226.43937916019,921.3542466890491,0.0
276,cg00256166,264.406109753105,15268.4393791602,0.0
277,cg00256281,247.09277700659803,17915.4393791602,0.0
278,cg00259755,697.8844011905859,22215.4855224683,0.0
279,cg00260778,566.765809428852,1088.65855687172,0.0
280,cg00261552,249.562589399295,8707.48552246827,0.0
281,cg00261781,377.865803353386,25072.4855224683,0.0
282,cg00262415,206.69963991056,11865.485522468301,0.0
283,cg00263723,254.341445530606,19067.4393791602,0.0
284,cg00263760,7004.485522468271,18705.4855224683,0.0
285,cg00265415,272.439491876539,28312.4855224683,0.0
286,cg00265490,183.203618708135,7421.439379160191,0.0
287,cg00268009,274.617217904863,21434.4855224683,0.0
288,cg00268338,268.869863143215,22283.4855224683,0.0
289,cg00269115,202.394528540191,13035.4393791602,0.0
290,cg00269932,11831.4393791602,1795.4396759538602,0.0
291,cg00273068,2833.4855225762603,20724.4855224683,0.0
292,cg00273124,18436.4855224683,7143.485522468271,0.0
293,cg00274399,374.783175541161,12145.485522468301,0.0
294,cg00275232,183.90385681150602,9981.43937916019,0.0
295,cg00276797,219.393107467011,10374.4393791602,0.0
296,cg00278366,12089.485522468301,16525.4855224683,0.0
297,cg00279797,1599.69860581613,10776.4855224683,0.0
298,cg00280814,10140.4393791602,1315.5705586269198,0.0
299,cg00280894,2336.43937919202,12789.4393791602,0.0
300,cg00282347,355.911266107698,11914.485522468301,0.0
301,cg00282683,333.717703723265,21362.4855224683,0.0
302,cg00283535,2232.43937938264,715.743413608221,0.0
303,cg00288562,324.744869158564,22360.4393791602,0.0
304,cg00290028,326.651033153255,28145.4855224683,0.0
305,cg00290506,265.83564214097,22167.4855224683,0.0
306,cg00291877,277.743338233089,6644.439379160191,0.0
307,cg00292662,677.113026811145,25356.4855224683,0.0
308,cg00292971,2372.43937917609,626.19681636223,0.0
309,cg00293409,1346.03392797282,20003.4855224683,0.0
310,cg00294382,2351.4856041689104,7319.485522468271,0.0
311,cg00295206,265.143155195052,21755.4855224683,0.0
312,cg00295325,1935.4394142852698,2388.4393791718303,0.0
313,cg00296685,626.055121484917,34962.4855224683,0.0
314,cg00297584,7641.485522468271,19141.4855224683,0.0
315,cg00297600,306.656154232287,3628.4393791601897,0.0
316,cg00298357,23962.4393791602,2891.4393791601897,0.0
317,cg00298951,12814.4393791602,9130.43937916019,0.0
318,cg00301864,248.107049413818,35592.4855224683,0.0
319,cg00302793,496.613233715554,38514.4855224683,0.0
320,cg00303548,282.174337135254,11493.4393791602,0.0
321,cg00304278,200.54932943068803,4617.43937916019,0.0
322,cg00307685,9531.48552246827,752.7524499447991,0.0
323,cg00308133,19933.4393791602,12110.4393791602,0.0
324,cg00308665,572.056458573646,3990.4393791601897,0.0
325,cg00309056,305.275655799305,16672.4855224683,0.0
326,cg00309204,182.161876486615,9880.43937916019,0.0
327,cg00311768,6261.439379160191,3287.4393791601897,0.0
328,cg00312919,290.38443552618196,26094.4855224683,0.0
329,cg00314943,6642.485522468271,744.051375885598,0.0
330,cg00315936,225.71462068348202,5965.485522468271,0.0
331,cg00317680,968.8159015522509,11582.4393791602,0.0
332,cg00318573,52294.4855224683,29290.4855224683,0.0
333,cg00318865,234.66523594730597,21254.4855224683,0.0
334,cg00319692,14541.485522468301,6741.485522468271,0.0
335,cg00319761,240.63977669016103,30800.4855224683,0.0
336,cg00320243,334.044114532305,21316.4855224683,0.0
337,cg00321065,228.899606167461,12656.4393791602,0.0
338,cg00321478,3786.48552246827,7962.485522468271,0.0
339,cg00323915,1154.1074563324698,2649.4393791602397,0.0
340,cg00324733,242.82070020751598,15621.485522468301,0.0
341,cg00325491,812.451525027491,1193.89538080009,0.0
342,cg00327185,681.1236121364881,10210.4393791602,0.0
343,cg00327483,17598.4393791602,578.914782768992,0.0
344,cg00328227,4670.485522468271,12462.485522468301,0.0
345,cg00331237,1090.80354643088,22917.4855224683,0.0
346,cg00331433,287.48657108534803,21204.4855224683,0.0
347,cg00332153,12457.485522468301,10988.4855224683,0.0
348,cg00332745,263.082839842792,14588.485522468301,0.0
349,cg00333226,13757.485522468301,13087.485522468301,0.0
350,cg00333528,5530.439379160191,8088.439379160191,0.0
351,cg00334507,7076.439379160191,1365.5153677421301,0.0
352,cg00335286,863.076595841728,1629.44240296542,0.0
353,cg00336605,176.939895381593,7286.439379160191,0.0
354,cg00338702,314.946401918189,17278.4855224683,0.0
355,cg00338893,222.57070326648102,10753.4855224683,0.0
356,cg00340102,973.8758861316361,11679.485522468301,0.0
357,cg00342530,1155.08333488636,6158.485522468271,0.0
358,cg00343092,240.05059913711398,26944.4855224683,0.0
359,cg00344358,28109.4855224683,2312.4856547855998,0.0
360,cg00344372,21051.4393791602,4855.43937916019,0.0
361,cg00344709,9282.48552246827,4888.485522468271,0.0
362,cg00346145,332.74120649193503,6835.485522468271,0.0
363,cg00347729,518.810696546708,1424.4782349122302,0.0
364,cg00347904,3923.48552246827,2076.48758076655,0.0
365,cg00350296,6647.485522468271,8294.48552246827,0.0
366,cg00350478,15235.485522468301,7652.485522468271,0.0
367,cg00350702,242.02387101852798,11287.485522468301,0.0
368,cg00351011,252.51578156198897,20318.4855224683,0.0
369,cg00353953,1192.89982899904,2458.43937916309,0.0
370,cg00354258,12988.485522468301,5996.485522468271,0.0
371,cg00354572,3418.4855224682697,11954.485522468301,0.0
372,cg00355802,216.36370735188402,7758.439379160191,0.0
373,cg00359325,838.388191941598,36736.4855224683,0.0
374,cg00359973,676.863483860072,22349.4393791602,0.0
375,cg00363813,30520.4855224683,18330.4855224683,0.0
376,cg00364344,226.06860549790198,15226.485522468301,0.0
377,cg00364814,3434.4393791601897,268.53251044645003,0.0
378,cg00365193,4268.43937916019,13579.4393791602,0.0
379,cg00367281,8614.43937916019,2414.4393791671696,0.0
380,cg00367438,223.26288135820099,6484.485522468271,0.0
381,cg00368022,329.515663801798,19116.4855224683,0.0
382,cg00368415,242.616550088298,22564.4393791602,0.0
383,cg00371195,6750.439379160191,284.601906486627,0.0
384,cg00374717,6211.485522468271,426.99645316129096,0.0
385,cg00375964,235.992573692374,10465.4855224683,0.0
386,cg00376639,845.1484891234289,11857.4393791602,0.0
387,cg00380464,367.97012381927397,25468.4855224683,0.0
388,cg00381076,458.621339902361,20714.4393791602,0.0
389,cg00382515,283.862200635461,20130.4855224683,0.0
390,cg00382991,414.278654764831,12149.4393791602,0.0
391,cg00384537,7225.439379160191,734.281046374787,0.0
392,cg00386408,1708.5676599588598,16883.4855224683,0.0
393,cg00387170,257.053166771763,11756.485522468301,0.0
394,cg00392257,3619.4393791601897,16519.4393791602,0.0
395,cg00393585,256.128612603232,8395.43937916019,0.0
396,cg00394658,16018.485522468301,11023.485522468301,0.0
397,cg00396163,178.428776682886,10027.4393791602,0.0
398,cg00396894,17107.4855224683,6421.485522468271,0.0
399,cg00397545,1998.43939191468,2519.43937916103,0.0
400,cg00397740,228.647758289691,10664.4393791602,0.0
401,cg00398048,381.150687644774,4780.43937916019,0.0
402,cg00399483,978.460943719597,17612.4855224683,0.0
403,cg00400028,3051.48552247185,18405.4855224683,0.0
404,cg00400263,29685.4855224683,358.784196196586,0.0
405,cg00401678,1417.48151641789,6649.439379160191,0.0
406,cg00402366,230.207959939538,14706.485522468301,0.0
407,cg00403724,356.203414562015,3416.4393791601897,0.0
408,cg00404599,9592.48552246827,18669.4855224683,0.0
409,cg00405070,254.87619561088403,11648.485522468301,0.0
410,cg00405568,246.051668641524,10761.4855224683,0.0
411,cg00405677,4944.43937916019,10353.4393791602,0.0
412,cg00406188,2295.43937922942,1390.49676947931,0.0
413,cg00406844,9606.43937916019,6803.439379160191,0.0
414,cg00407150,17248.4855224683,10200.4855224683,0.0
415,cg00410419,221.02663000788502,13069.485522468301,0.0
416,cg00410576,296.589601164504,20921.4855224683,0.0
417,cg00410831,3590.48552246827,308.44964856574904,0.0
418,cg00410895,3175.4393791601897,300.551074929923,0.0
419,cg00410898,183.378245515863,1742.4400174689802,0.0
420,cg00410921,3411.4393791601897,6657.439379160191,0.0
421,cg00411097,11434.485522468301,19810.4855224683,0.0
422,cg00412772,15382.4393791602,1763.43985172071,0.0
423,cg00412805,12545.485522468301,395.025870699823,0.0
424,cg00413066,2684.43937916021,259.759484499147,0.0
425,cg00415164,4978.43937916019,5695.439379160191,0.0
426,cg00415494,17886.4855224683,9922.48552246827,0.0
427,cg00415978,2547.43937916066,6997.439379160191,0.0
428,cg00415993,3541.4393791601897,1994.43939277523,0.0
429,cg00417297,219.164175446151,14209.485522468301,0.0
430,cg00418150,22755.4855224683,17288.4855224683,0.0
431,cg00419564,1103.2021210705802,14735.485522468301,0.0
432,cg00420568,331.085953365298,5496.43937916019,0.0
433,cg00420715,228.753754652749,29118.4855224683,0.0
434,cg00420929,5851.485522468271,25892.4855224683,0.0
435,cg00422913,519.404930048217,18073.4855224683,0.0
436,cg00424946,172.47137104034303,16336.485522468301,0.0
437,cg00425710,19927.4855224683,5969.485522468271,0.0
438,cg00425792,362.054571230016,15113.485522468301,0.0
439,cg00426056,306.712313202083,26080.4855224683,0.0
440,cg00426498,3795.4393791601897,19226.4393791602,0.0
441,cg00426963,246.46050706058398,11943.485522468301,0.0
442,cg00427635,306.712313202083,2129.48666291521,0.0
443,cg00429618,1580.73550081479,19171.4855224683,0.0
444,cg00430287,1972.4393986116602,2195.43937959501,0.0
445,cg00430945,983.437788013449,25136.4393791602,0.0
446,cg00431050,17774.4855224683,10800.4855224683,0.0
447,cg00431114,633.514259109569,8486.43937916019,0.0
448,cg00431549,270.14460378721196,3045.4393791601897,0.0
449,cg00432979,301.587130094719,14030.485522468301,0.0
450,cg00433406,9849.43937916019,1122.33767371735,0.0
451,cg00434413,15988.4393791602,369.15784984095103,0.0
452,cg00435408,244.22560568277402,8545.48552246827,0.0
453,cg00436282,3751.48552246827,414.08874664904295,0.0
454,cg00436301,239.34023264673098,12040.4393791602,0.0
455,cg00436603,3787.4393791601897,8572.43937916019,0.0
456,cg00441136,12923.485522468301,5261.485522468271,0.0
457,cg00441382,301.306171112296,32344.4855224683,0.0
458,cg00443307,1795.4396759538602,425.06476509152606,0.0
459,cg00445824,1327.5546640606199,19173.4393791602,0.0
460,cg00446235,777.653402251304,21415.4855224683,0.0
461,cg00447208,10434.4393791602,5162.43937916019,0.0
462,cg00448720,11421.4393791602,8651.43937916019,0.0
463,cg00449941,206.597240722682,12680.4393791602,0.0
464,cg00451635,4551.43937916019,16887.4393791602,0.0
465,cg00453193,479.639783012987,25303.4393791602,0.0
466,cg00453258,36654.4855224683,10477.4855224683,0.0
467,cg00459975,577.845907606579,25574.4855224683,0.0
468,cg00461841,442.29825581943703,299.0726147905,0.0
469,cg00462311,254.6380107758,3218.4393791601897,0.0
470,cg00462994,12507.4393791602,11794.4393791602,0.0
471,cg00463202,23642.4855224683,4721.485522468271,0.0
472,cg00463577,519.974871651094,25849.4855224683,0.0
473,cg00463848,3066.4393791601897,1769.4398125323103,0.0
474,cg00464269,253.798865894067,21071.4855224683,0.0
475,cg00465284,668.3901415333551,10870.4393791602,0.0
476,cg00465846,218.82843820038502,21268.4855224683,0.0
477,cg00466249,3265.4855224683697,11156.485522468301,0.0
478,cg00466436,1299.59492444429,6402.439379160191,0.0
479,cg00466492,11133.485522468301,14415.485522468301,0.0
480,cg00466544,215.84618330030898,18445.4855224683,0.0
481,cg00468146,16232.485522468301,27314.4855224683,0.0
482,cg00469635,239.881547631066,24454.4393791602,0.0
483,cg00471562,302.15023057067003,32063.4855224683,0.0
484,cg00472136,14474.485522468301,3356.4855224682897,0.0
485,cg00472814,280.307945549285,23546.4855224683,0.0
486,cg00474004,805.0429066684089,1114.40542731429,0.0
487,cg00474209,285.300914640956,7314.439379160191,0.0
488,cg00475955,263.310500845531,20071.4855224683,0.0
489,cg00476577,471.889814132623,12225.4393791602,0.0
490,cg00476580,249.771661878314,30707.4855224683,0.0
491,cg00479269,253.369998237934,9097.48552246827,0.0
492,cg00480115,2270.43937927064,3634.4393791601897,0.0
493,cg00480209,271.002721174115,26359.4855224683,0.0
494,cg00480356,217.753477725508,2673.43937916022,0.0
495,cg00481227,302.997846064116,6228.485522468271,0.0
496,cg00483154,238.80079686825403,16733.4393791602,0.0
497,cg00485296,273.162377553454,35744.4855224683,0.0
498,cg00485380,285.406831483312,15081.485522468301,0.0
499,cg00487159,580.393521628145,33360.4855224683,0.0
500,cg00488300,16235.4393791602,1362.5179438426899,0.0
501,cg00488364,1077.7824723754902,745.8733578334401,0.0
502,cg00488718,192.980375030065,14200.485522468301,0.0
